Year_Week,year,week,Retail Market,Vegetable,mean_farmer_price
2018-w41,2018,w41,Anuradhapura,ASH PLANTAINS,53.75
2018-w42,2018,w42,Anuradhapura,ASH PLANTAINS,66.25
2018-w43,2018,w43,Anuradhapura,ASH PLANTAINS,62.5
2018-w44,2018,w44,Anuradhapura,ASH PLANTAINS,65.0
2018-w45,2018,w45,Anuradhapura,ASH PLANTAINS,58.33
2018-w46,2018,w46,Anuradhapura,ASH PLANTAINS,58.33
2018-w47,2018,w47,Anuradhapura,ASH PLANTAINS,60.0
2018-w48,2018,w48,Anuradhapura,ASH PLANTAINS,53.33
2018-w49,2018,w49,Anuradhapura,ASH PLANTAINS,55.0
2018-w50,2018,w50,Anuradhapura,ASH PLANTAINS,57.5
2018-w51,2018,w51,Anuradhapura,ASH PLANTAINS,52.5
2018-w52,2018,w52,Anuradhapura,ASH PLANTAINS,51.25
2019-w1,2019,w1,Anuradhapura,ASH PLANTAINS,62.5
2019-w2,2019,w2,Anuradhapura,ASH PLANTAINS,53.0
2019-w3,2019,w3,Anuradhapura,ASH PLANTAINS,53.75
2019-w4,2019,w4,Anuradhapura,ASH PLANTAINS,47.5
2019-w5,2019,w5,Anuradhapura,ASH PLANTAINS,50.0
2019-w6,2019,w6,Anuradhapura,ASH PLANTAINS,51.67
2019-w7,2019,w7,Anuradhapura,ASH PLANTAINS,52.5
2019-w8,2019,w8,Anuradhapura,ASH PLANTAINS,53.33
2019-w9,2019,w9,Anuradhapura,ASH PLANTAINS,55.0
2019-w10,2019,w10,Anuradhapura,ASH PLANTAINS,53.75
2019-w11,2019,w11,Anuradhapura,ASH PLANTAINS,45.0
2019-w12,2019,w12,Anuradhapura,ASH PLANTAINS,46.67
2019-w13,2019,w13,Anuradhapura,ASH PLANTAINS,45.0
2019-w14,2019,w14,Anuradhapura,ASH PLANTAINS,46.67
2019-w15,2019,w15,Anuradhapura,ASH PLANTAINS,45.0
2019-w16,2019,w16,Anuradhapura,ASH PLANTAINS,45.0
2019-w17,2019,w17,Anuradhapura,ASH PLANTAINS,45.0
2019-w18,2019,w18,Anuradhapura,ASH PLANTAINS,40.0
2019-w19,2019,w19,Anuradhapura,ASH PLANTAINS,36.0
2019-w20,2019,w20,Anuradhapura,ASH PLANTAINS,47.5
2019-w21,2019,w21,Anuradhapura,ASH PLANTAINS,57.5
2019-w22,2019,w22,Anuradhapura,ASH PLANTAINS,40.0
2019-w23,2019,w23,Anuradhapura,ASH PLANTAINS,51.67
2019-w24,2019,w24,Anuradhapura,ASH PLANTAINS,57.5
2019-w25,2019,w25,Anuradhapura,ASH PLANTAINS,45.0
