Year,Location,Missing_Cells
2023,Nikaweratiya,35
2024,Nikaweratiya,141
2008,Nuwaraeliya,266
2009,Nuwaraeliya,174
2010,Nuwaraeliya,77
2011,Nuwaraeliya,78
2012,Nuwaraeliya,250
2013,Nuwaraeliya,22
2014,Nuwaraeliya,27
2015,Nuwaraeliya,30
2016,Nuwaraeliya,67
2017,Nuwaraeliya,183
2018,Nuwaraeliya,37
2019,Nuwaraeliya,30
2020,Nuwaraeliya,279
2021,Nuwaraeliya,164
2022,Nuwaraeliya,30
2023,Nuwaraeliya,56
2024,Nuwaraeliya,84
2008,Polonnaruwa,318
2009,Polonnaruwa,471
2010,Polonnaruwa,106
2011,Polonnaruwa,181
2012,Polonnaruwa,744
2013,Polonnaruwa,1167
2014,Polonnaruwa,358
2015,Polonnaruwa,192
2016,Polonnaruwa,102
2017,Polonnaruwa,152
2018,Polonnaruwa,637
2019,Polonnaruwa,313
2020,Polonnaruwa,688
2021,Polonnaruwa,295
2022,Polonnaruwa,100
2023,Polonnaruwa,75
2024,Polonnaruwa,285
2008,Puttalam,561
2009,Puttalam,332
2010,Puttalam,141
2011,Puttalam,233
2012,Puttalam,648
2013,Puttalam,83
2014,Puttalam,323
2015,Puttalam,48
2016,Puttalam,62
2017,Puttalam,111
2018,Puttalam,216
2019,Puttalam,112
2020,Puttalam,790
2021,Puttalam,668
2022,Puttalam,76
2023,Puttalam,58
2024,Puttalam,222
2008,Rathnapura,295
2009,Rathnapura,389
2010,Rathnapura,153
2011,Rathnapura,315
2012,Rathnapura,835
2013,Rathnapura,63
2014,Rathnapura,46
2015,Rathnapura,229
2016,Rathnapura,455
2017,Rathnapura,839
2018,Rathnapura,694
2019,Rathnapura,73
2020,Rathnapura,408
2021,Rathnapura,327
2022,Rathnapura,172
2023,Rathnapura,308
2024,Rathnapura,187
2008,Thambuththegama,440
2009,Thambuththegama,435
2010,Thambuththegama,120
2011,Thambuththegama,202
2012,Thambuththegama,345
2013,Thambuththegama,234
2014,Thambuththegama,36
2015,Thambuththegama,37
2016,Thambuththegama,737
2017,Thambuththegama,72
2018,Thambuththegama,78
2019,Thambuththegama,248
2020,Thambuththegama,534
2021,Thambuththegama,418
2022,Thambuththegama,101
2023,Thambuththegama,131
2024,Thambuththegama,407
2008,Tissamaharama,271
2009,Tissamaharama,180
2010,Tissamaharama,152
2011,Tissamaharama,160
2012,Tissamaharama,597
2013,Tissamaharama,11
2014,Tissamaharama,17
2015,Tissamaharama,74
2016,Tissamaharama,451
2017,Tissamaharama,331
2018,Tissamaharama,235
2019,Tissamaharama,302
2020,Tissamaharama,795
2021,Tissamaharama,1352
2022,Tissamaharama,204
2023,Tissamaharama,104
2024,Tissamaharama,371
2015,Trincomalee,368
2016,Trincomalee,405
2017,Trincomalee,349
2018,Trincomalee,480
2019,Trincomalee,751
2020,Trincomalee,881
2021,Trincomalee,1352
2022,Trincomalee,339
2023,Trincomalee,182
2024,Trincomalee,136
2008,Vavuniya,1352
2009,Vavuniya,1352
2010,Vavuniya,1352
2011,Vavuniya,982
2012,Vavuniya,1352
2013,Vavuniya,1302
2014,Vavuniya,68
2015,Vavuniya,289
2016,Vavuniya,271
2017,Vavuniya,636
2018,Vavuniya,58
2019,Vavuniya,83
2020,Vavuniya,729
2021,Vavuniya,1352
2022,Vavuniya,306
2023,Vavuniya,98
2024,Vavuniya,98
2022,Veyangoda,231
2023,Veyangoda,26
2024,Veyangoda,413
